target||,||retrieved||,||id
{3}^{w}-(\sin{6})||,||3的w次方減sin 6||,||1
\log_{8}(\sin{8})||,||sin 8以8為底的對數值||,||2
1-c||,||1減c||,||3
3-d||,||3減d||,||4
\log_{4-2}(x-y)||,||x減y以4減2為底的對數||,||5
{3+(6-x)}^{c}||,||3加括號6-x括號的c次方||,||6
\sin{{6}^{\log_{8+b}\pi}}||,||sin 6的pi以8加b為底的對數值次方||,||7
\sqrt{\cos{c}}||,||根號cos c||,||8
\log_{\frac{5-\frac{c}{7-k}}{\sqrt{p}}}(\cos{{R}^{s}})||,||cos R的s次方以根號p分之5減7減k分之c為底的對數||,||9
(c+k)+(4+{8}^{b})||,||括號c加k括號加括號4加8的b次方括號||,||10
5+q||,||5加q||,||11
{\sin{2}}^{n}||,||sin 2的n次方||,||12
((8+r)-(a+w))z||,||括號8加r減括號a加w整個乘以z||,||13
\log_{8}(\sin{7})||,||sin 7以8為底的對數||,||14
{3}^{R+d}||,||3的R加d次方||,||15
\frac{y}{\log_{8}((x-d)-z)}||,||log 8 括號x減d減z分之y||,||16
((\sqrt{8})6)x||,||根號8乘以6乘以x||,||17
\sqrt{9}||,||根號9||,||18
\sqrt{p}||,||根號p||,||19
{5}^{\sqrt{\sqrt{y}}}||,||5的根號根號y次方||,||20
{\frac{w}{d}}^{1k}||,||d分之w的1k次方||,||21
1+5||,||1加5||,||22
\tan{5}||,||tan 5||,||23
\sqrt{0}||,||根號0||,||24
