ax^{2}+bx+c,\,\!,ax平加bx加c
ax^{2}+bx+c=0,ax平加bx加c等於0
{ y=ax^{2}+bx+c},y等於ax平方加bx加c
x=-{\frac {b}{2a}},x等於負2a分之b
{\frac {r_{1}+r_{2}}{2}}\,\!,二分之r1加r2
x=h=-{\frac {b}{2a}},x等於h等於負2a分之b
x=-{\frac {b}{2a}},x等於負2a分之b
{\frac {1+{\sqrt {5}}}{2}},2分之1加根號5
a>0\,\!,a大於0
y=\pm {\sqrt {ax^{2}+bx+c}},y等於正負根號ax平方加bx加c
a<0\,\!,a小於0
\theta ,theta
x_{n},xn
x_{0},x0
{\frac {1}{2}},二分之一
z=0\,\!,z等於0
4AB-E^{2}<0,4AB減E平方小於0
4AB-E^{2}>0,4AB減E平方大於0
4AB-E^{2}=0,4AB減E平方等於0
DE-2CB=2AD-CE\neq 0,DE減2CB等於2AD不等於0
C=2\pi r=\pi d,C等於2pir等於pi d
{ (x-a)^{2}+(y-b)^{2}=r^{2}},x減a平方加y減b平方等於r平方
{ x^{2}+y^{2}=r^{2}},x平方加y平方等於r平方
{ x=a+r\,\cos t,},x等於aRu8 
{ y=b+r\,\sin t,},y等於b加rsin t
{ |z-c|=r},z減c的絕對值等於r
{ z=re^{it}+c},z等於re的it次方加c
\frac{dy}{dx} = -\frac{x_1}{y_1},dx分之dy等於負y1分之x1
{ r={\frac {y^{2}}{8x}}+{\frac {x}{2}}},r等於8x分之平加二zp 
\frac{AP}{BP} = \frac{AC}{BC},BP分之AP等於BC分之AC
\sqrt{2}r,根號2r
\pi ,pi
r={\frac {1}{|\sin \theta |+|\cos \theta |}},等於1除以sin theta的絕對值加cos theta的絕對值
P_{n},Pn
{ (2m)},2m
d_{i},di
P_{n},pn
{\frac {1}{2}},二分之
{ {\frac {17}{3}}},3分之17
{\frac {a}{b}},b分之a
{\frac {1}{2}},2分之1
-{\frac {8}{5}},負5分之8
{\frac {-8}{5}},5分之負8
{\frac {8}{-5}},負5分之8
{\frac {1}{7}},7分之1
{ {\frac {1}{8}}={\frac {1}{2^{3}}}},8分之1等於2的三次方分之1
{\frac {3}{7}},7分% 
{\frac {7}{3}},3分之7
{ {\frac {7}{7}}},7分之7
{\frac {17}{1}},1分之17
{\frac {1}{17}},17分之1
3{\frac {75}{100}},3又100分之75
{ 2{\frac {3}{16}}},2又16分之3
2{\frac {3}{4}},2又4分之3
{ 2+{\frac {3}{4}}},2加4分之3
-2{\frac {3}{4}},負2又4分之3
{ {\frac {3}{4}}},4分之3
{ 2{\frac {b}{c}}},2又c分之b
{ 2\cdot {\frac {b}{c}},\quad },2
{\frac {11}{4}},4分之11
{\frac {11}{4}}=2{\frac {3}{4}},4分之11等於2又4分之3
{\frac {1}{2}}+{\frac {1}{3}},二分之一加三分之ㄧ
{\frac {1}{2}},二分之一
{\frac {2}{3}},3分之2
{\frac {3}{4}},4分之3
{\frac {5}{7}},7分之5
{\frac {1}{2}}+{\frac {1}{6}}+{\frac {1}{21}},2分之1加6分之1加2分之1
{\frac {13}{17}},17分之13
{\frac {1}{2}}+{\frac {1}{4}}+{\frac {1}{68}},2分之1加4分之1加68分之1
{\frac {1}{3}}+{\frac {1}{4}}+{\frac {1}{6}}+{\frac {1}{68}},3分之1加4分之1加6分之1加68分
{\frac {\frac {1}{2}}{\frac {1}{3}}},3分之1分之2分之1
{\frac {12{\frac {3}{4}}}{26}},26分之12又4分之3
{\frac {3}{4}},4分之3
{\frac {5}{7}},7分之5
{ {\frac {3}{4}}\times {\frac {5}{7}}},4分之3乘以7分之5
{\frac {n}{n}},n分之n
{\frac {n}{n}},n分之n
{\frac {1}{2}},二分之1
{\frac {2}{4}},4分之2
{\frac {a}{b}},a除以b
{ a=cd},a等於cd
{ b=ce,},b等於ce
{ {\frac {cd}{ce}}},ce分之cd
{ {\frac {d}{e}}},e分% 
{\frac {3}{9}},9分之3
{\frac {3}{8}},8分之3
{\frac {63}{462}},462分% 
{\frac {3}{4}}>{\frac {2}{4}},4分之3大於4分之2
{\frac {c}{d}},d分之c
{ {\frac {a\cdot d}{b\cdot d}}},b乘以d分之a乘以d
{ {\frac {b\cdot c}{b\cdot d}}},b乘以d分之b乘以c
{\frac {2}{3}},3分之2
{\frac {4}{6}}>{\frac {3}{6}},6分% 
{\frac {5}{18}},18分之5
{ {\frac {4}{17}},},17分之4
{\frac {5\times 17}{18\times 17}},18乘以17分之5乘以17
{ {\frac {18\times 4}{18\times 17}}},18乘以17分之18乘以4
{ 18\times 17},18乘以17
{\frac {5}{18}}>{\frac {4}{17}},18分之5大於17分之4
{ {\frac {3}{5}}+{\frac {2}{3}}},5分之3加3分% 
{\frac {3}{5}},5分之3
{\frac {3}{5}}\times {\frac {3}{3}}={\frac {9}{15}},5分之3乘以3分之3等於15分之9
{\frac {3}{3}},3分之3
{\frac {3}{3}},3分之3
{\frac {2}{3}},3分之2
{\frac {3}{4}},4分之3
{ {\frac {5}{6}}},6分之5
2{\frac {3}{4}},2又4分之3
{\frac {8}{4}}+{\frac {3}{4}},4分之8加4分之3
8{\frac {1}{4}},8又4分之1
{\frac {2}{3}},3分之2
{\frac {2}{3}},3分之2
{ b\neq 0,},b不等於0
{\frac {3x}{x^{2}+2x-3}},x平方加2x減3分之3x
{\frac {\sqrt {x+2}}{x^{2}-3}},x平方減3分之根號x加2
{\frac {1+{\frac {1}{x}}}{1-{\frac {1}{x}}}},1減x分之1分之1加x分之1
{ {\frac {2x}{x^{2}-1}}},x平減1分之2x
{ {\frac {1}{x+1}}+{\frac {1}{x-1}}},x加1分之1加x1分之1
